Number,FirstName,LastName,Status,Height,InjuryStatus
,Shaun Dion,Hamilton,Inactive,6'0",
,Bradley,Bozeman,Inactive,6'5",
,Greg,Senat,Inactive,6'6",
,Javon,Wims,Inactive,6'4",
,Matthew,Adams,Inactive,6'0",
,Kahlil,McKenzie,Inactive,6'3",
,Travin,Howard,Inactive,6'1",
,Colby,Gossett,Inactive,6'5",
,Danny,Etling,Inactive,6'3",
,Trenton,Cannon,Inactive,5'11",
,Jullian,Taylor,Inactive,6'5",
,Korey,Cunningham,Inactive,6'6",
,Chris,Lammons,Inactive,5'10",
,Austin,Proehl,Inactive,5'11",
,Logan,Woodside,Inactive,6'2",
,Auden,Tate,Inactive,6'5",
,Hunter,Bradley,Inactive,6'3",
,Justin,Jackson,Inactive,6'0",
,Keith,Kirkwood,Inactive,6'3",
,Will,Clapp,Inactive,6'5",
,Jason,Cabinda,Inactive,6'1",
,Richie,James,Inactive,5'9",
,Trey,Quinn,Inactive,6'0",
,Greg,Stroman Jr.,Inactive,5'11",
,Justin,Lawler,Inactive,6'4",
,Ryan,Izzo,Inactive,6'5",
,Ezekiel,Turner,Inactive,6'2",
,Kurt,Benkert,Inactive,6'4",
,Reggie,Bonnafon,Inactive,6'0",
,Ryan,Nall,Inactive,6'2",
,Bunmi,Rotimi,Inactive,6'3",
